id,date,city,venue,category,title,time,ticketUrl,cost
"90","2019-11-16","Anchorage","The Schwabenhof (Wasilla)","music","Dos Palmerainians","8p-12a","",""
"91","2019-11-16","Anchorage","Holy Trinity Episcopal Church (Juneau)","music","Organ Workshop w/ Jonas Nordwall","9:30a-11a","",""
"92","2019-11-16","Anchorage","Charlou","dance","Latin Night with Anaya Latin Dance","9p-12a","",""
"93","2019-11-16","Anchorage","Hard Rock Café","music","The Stack","9p-12a","",""
"94","2019-11-16","Anchorage","SubZero Microlounge","music","Denali","9p-12a","",""
"95","2019-11-16","Anchorage","Humpy’s","music","The Jangle Bees","9p-1a","",""
"96","2019-11-16","Anchorage","Van’s Dive Bar","music","Alt Pop Party w/ Lloyds Noize & DJ GRE","9p-2:30a","",""
"97","2019-11-16","Anchorage","Whale’s Tail","music","Saturdays with DJ 3rd George","9p-2a","",""
"98","2019-11-16","Anchorage","Williwaw","dance","2010-2019 Video Dance Partyw/ DJ Spencer Lee","9p-2a","",""
"99","2019-11-17","Anchorage","Koot’s","music","VivaVoom Brr-Lesque Presents: 2019 Prep Academy","12p-2p","",""
"100","2019-11-17","Anchorage","The Writer’s Block Bookstore & Café","music","Snow Drifters12p","2p","",""
"101","2019-11-17","Anchorage","The Writer’s Block Bookstore & Café","music","Lauren Somers Heyano, ""Emerging""","3p-4:30p","",""
"102","2019-11-17","Anchorage","UAF Charles Davis Hall (Fairbanks)","music","Jenna Dreydoppel: Junior Voice Recital","4p-5p","",""
"103","2019-11-17","Anchorage","House Concert","music","Family-Friendly House Concert with Emily Kurn","4p-6p","",""
"104","2019-11-17","Anchorage","UAA Fine Arts Building","dance","UAA Dance Performance","5p-7:30p","",""
"105","2019-11-17","Anchorage","Zip Kombucha","dance","Swing Dance Sundays","6p-8p","",""
"106","2019-11-17","Anchorage","Koot’s","comedy","Open Mic Comedy","8:30p-10p","",""
"107","2019-11-17","Anchorage","Humpy’s","music","Open Mic","8p-11p","",""
"108","2019-11-17","Anchorage","Van’s Dive Bar","music","Open Mic Night","9p-12a","",""
"109","2019-11-18","Anchorage","Kenai Senior Center","music","KSC Christmas Choir","1p-2p","",""
"110","2019-11-18","Anchorage","Koot’s","music","Open Mic8p","2a","",""
"111","2019-11-18","Anchorage","Zip Kombucha","music","Open Mic Night w/ TLooP Music","6p-8p","",""
"112","2019-11-18","Anchorage","Van’s Dive Bar","comedy","Comedy Open Mic Night","8p-10:30p","",""
"113","2019-11-19","Anchorage","Koot’s","music","Eternal Cowboys","10p-2a","",""
"114","2019-11-19","Anchorage","The Marlin (Fairbanks)","comedy","Open Mic Comedy8p","11p","",""
"115","2019-11-19","Anchorage","Seward Alehouse","music","Tyson Tuesdays9p","12a","",""
"116","2019-11-19","Anchorage","Hula Hands","music","Under 21 Open Mic -East","5:30p-7:30p","",""
"117","2019-11-19","Anchorage","Arctic Rec Center","dance","Tahitian Dance","6:30p-7:30p","",""
"118","2019-11-19","Anchorage","American Legion Spenard Post 28","music","Tuesday Open Mic at Post 28","6:30p-9:30p","",""
"119","2019-11-19","Anchorage","Brown Bear Saloon (Indian)","music","Cousin Curtiss","7p-10p","",""
"120","2019-11-19","Anchorage","The Pioneer Bar","music","Mike Gorder","7p-9p","",""
"121","2019-11-20","Anchorage","Charlou","music","Unplugged Wednesday w/ Kat Moore 5:30p-8:30pc","","",""
"122","2019-11-20","Anchorage","Koot’s","music","Open Decks","10p-1:30a","",""
"123","2019-11-20","Anchorage","The Pioneer Bar","music","The Eternal Cowboys","10p-1a","",""
"124","2019-11-20","Anchorage","UAA Department of Music","music","Charles Woodward: Junior Tuba Recital","7:30p-8:30p","",""
"125","2019-11-20","Anchorage","Loussac Library","music","Anchorage Bowl Chamber Orchestra: ABCO Winter Concert","7:30p-9p","",""
"126","2019-11-20","Anchorage","Matanuska Brewing Company, Anchorage","music","Todd Long","7p-10p","",""
"127","2019-11-20","Anchorage","Matanuska Brewing Company Eagle River","music","Lisa Lisa","7p-10p","",""
"128","2019-11-20","Anchorage","The Rendezvous (Juneau)","music","GRLZ: Female Open Mic","7p-10p","",""
"129","2019-11-20","Anchorage","The Schwabenhof (Wasilla)","music","Open Mic","7p-10p","",""
"130","2019-11-20","Anchorage","The Rookery (Juneau)","music","Mountainside Open Mic & Art Night","7p-9p","",""
"131","2019-11-20","Anchorage","Koot’s","comedy","Comedy Open Mic","8:30p-10p","",""
"132","2019-11-20","Anchorage","Humpy’s","music","Becky Kotter","8p-12a","",""
"133","2019-11-20","Anchorage","The Marlin (Fairbanks)","music","Open Mic Night","9p-2a","",""
"134","2020-06-26","Anchorage","Koot’s","music","DJ LT","10:30p-2:30a","",""
"135","2020-06-26","Anchorage","Koot’s","music","The Stack Alaska","10p-2a","",""
"136","2020-06-26","Anchorage","Arctic Fox (Fairbanks)","music","Marc Brown","10p-3a","",""
"137","2020-06-26","Anchorage","TLoop Music","music","Whitney Youngman, Wash Your Hands, & Garrett Hermansen6:","30p-8p","",""
"138","2020-06-26","Anchorage","Organic Oasis","music","John Damberg Solo Jazz Piano","5:30p-7:30p","",""
